PUBLIC_NAM,Rec_count,Education_count,Facility_count,Maintenance_count,Aesthetic_count,Collisions_2011_2014,Incidents_2011_200m,Incidents_norm,sqm,violent_crimes_total,violent_crimes_sqm,narcotic_crimes,narcotic_crimes_sq_m,water_perc,tree_perc,grass_perc,built_perc,t_safety,t_recreation,t_amenities,t_landscape,t_accessibility,t_condition,t_size,t_aesthetic
William H (Billy) Markward Memorial Playground,6,0,0,0,0,81,26,105.5478037,13674.97914,20,0.001462525,14,0.001023768,0,0.283331898,0.336366077,0.380302025,0.556172963,0.354950672,1.070823729,-0.124137669,0.038300472,0.500727749,0.212755314,-0.207576396
Schuylkill Banks,0,0,0,0,0,918,179,139.1836831,59558.91051,86,0.001443949,90,0.001511109,0.047880958,0.389424738,0.138776621,0.423917683,-0.016942178,0.774810832,-0.024756635,0.536710494,-0.134263354,-0.110570985,-0.079822661,0.561685379
Schuylkill River Park,7,0,0,0,0,89,54,175.7743672,29651.34217,32,0.001079209,21,0.000708231,0,0.444225611,0.242005196,0.313769193,0.016217292,0.576185755,0.12125791,0.425120562,-0.130808169,-0.017235642,0.092464321,0.260481091
Frankford Boat Launch,0,0,0,0,0,0,0,0,46011.8877,0,0,0,0,0,0.237362088,0.368655449,0.393982463,0.012114035,0.06979632,-0.234194583,0.387114382,0.06630605,0.058395873,-0.104967772,-0.242091334
Wissahickon Valley Park,11,2,3,1,1,727,524,62.071106,8353228.274,437,5.23E-05,59,7.06314E-06,0.005665288,0.88135041,0.068978825,0.044005477,-0.075060514,0.607545867,-0.113493359,0.34852002,-0.026942693,-0.120482009,-0.074243653,0.475487197
Pennypack Park,4,3,2,1,0,423,620,104.3679189,5533754.141,847,0.000153061,653,0.000118003,0.007456343,0.900464414,0.056477802,0.035601441,0.040316826,0.492627781,-0.07218073,0.230314219,-0.124399105,0.137077153,-0.142080904,0.270368198
East Fairmount Park,10,2,2,1,1,876,523,164.7833779,2629184.326,755,0.000287161,333,0.000126655,0.056490645,0.477842168,0.238027372,0.227639815,-0.073488794,0.079635215,-0.12640802,0.058102592,-0.129770445,-0.107144366,-0.154639081,0.196771481
Tacony Creek Park,8,0,0,0,0,430,727,308.6694114,1281800.723,1376,0.00107349,278,0.000216882,0.00857491,0.647472127,0.253906833,0.090046131,0.234022372,0.425466022,-0.166458026,0.062756152,-0.226935101,0.145542825,-0.259431716,0.124348761
Franklin Delano Roosevelt Park,6,3,3,0,0,140,89,83.72512214,1410755.861,61,4.32E-05,16,1.13414E-05,0.065897982,0.379711078,0.430609444,0.123781496,-0.046694392,0.32332879,0.071866111,0.51204642,0.057496331,0.028067641,0.070701859,0.125172878
Hunting Park,8,1,2,0,1,295,307,503.9582332,309452.1387,1021,0.003299379,433,0.001399247,0.000173041,0.303419386,0.503679418,0.192728155,0.195812655,0.109749651,-0.001158365,-0.183683588,-0.053485348,0.142352448,-0.065818012,-0.187785092
